"Label","Value"
"2013-05-25","879"
"2013-06-01","5441"
"2013-06-08","4991"
"2013-06-15","1027"
"2013-06-22","5200"
"2013-06-29","21334"
"2013-07-06","51968"
"2013-07-13","15173"
"2013-07-20","40438"
"2013-07-27","30694"
"2013-08-03","30699"
"2013-08-10","36456"
"2013-08-17","36789"
"2013-08-24","40289"
"2013-08-31","86029"
"2013-09-07","76359"
"2013-09-14","104433"
"2013-09-21","60431"
"2013-09-28","83466"
"2013-10-05","92598"
"2013-10-12","114433"
"2013-10-19","191716"
"2013-10-26","116455"
"2013-11-02","94258"
"2013-11-09","159717"
"2013-11-16","90635"
"2013-11-23","292086"
"2013-11-30","457901"
"2013-12-07","352539"
"2013-12-14","322403"
"2013-12-21","261541"
"2013-12-28","165826"
"2014-01-04","192829"
"2014-01-11","527244"
"2014-01-18","321852"
"2014-01-25","676048"
"2014-02-01","550643"
"2014-02-08","899604"
"2014-02-15","499464"
"2014-02-22","207632"
"2014-03-01","243298"
"2014-03-08","365641"
"2014-03-15","288245"
"2014-03-22","290919"
"2014-03-29","443044"
"2014-04-05","192194"
"2014-04-12","229256"
"2014-04-19","185967"
"2014-04-26","354805"
"2014-05-03","213648"
"2014-05-10","193059"
"2014-05-17","245954"
"2014-05-24","561935"
"2014-05-31","712874"
"2014-06-07","816258"
"2014-06-14","621618"
"2014-06-21","156994"
"2014-06-28","264537"
"2014-07-05","246726"
"2014-07-12","156520"
"2014-07-19","263516"
"2014-07-26","337976"
"2014-08-02","266434"
"2014-08-09","396982"
"2014-08-16","436584"
"2014-08-23","473420"
"2014-08-30","356415"
"2014-09-06","541724"
"2014-09-13","384423"
"2014-09-20","332888"
"2014-09-27","288539"
"2014-10-04","384933"
"2014-10-11","220006"
"2014-10-18","284914"
"2014-10-25","404160"
"2014-11-01","324135"
"2014-11-08","237299"
"2014-11-15","256627"
"2014-11-22","144344"
"2014-11-29","428610"
"2014-12-06","285170"
"2014-12-13","447379"
"2014-12-20","378650"
"2014-12-27","356499"
"2015-01-03","289679"
"2015-01-10","275514"
"2015-01-17","548440"
"2015-01-24","754743"
"2015-01-31","893966"
"2015-02-07","864913"
"2015-02-14","398211"
"2015-02-21","318540"
"2015-02-28","242073"
"2015-03-07","398033"
"2015-03-14","289829"
"2015-03-21","407138"
"2015-03-28","286453"
"2015-04-04","269031"
"2015-04-11","453591"
"2015-04-18","737190"
"2015-04-25","1752192"
"2015-05-02","2504112"
"2015-05-09","2867964"
"2015-05-16","2329108"
"2015-05-23","2046976"
"2015-05-30","2082244"
"2015-06-06","2742506"
"2015-06-13","2516299"
