"Label","Value"
"2019-04-06","26853755"
"2019-04-13","24501258"
"2019-04-20","45769024"
"2019-04-27","24135058"
"2019-05-04","22550721"
"2019-05-11","28297889"
"2019-05-18","32846791"
"2019-05-25","32516018"
"2019-06-01","23320309"
"2019-06-08","26322056"
"2019-06-15","29994640"
"2019-06-22","36701525"
"2019-06-29","38383173"
"2019-07-06","26607887"
"2019-07-13","30825167"
"2019-07-20","29978275"
"2019-07-27","30057640"
"2019-08-03","31697947"
"2019-08-10","31131169"
"2019-08-17","31520462"
"2019-08-24","29805406"
"2019-08-31","34192086"
"2019-09-07","30919724"
"2019-09-14","28509207"
"2019-09-21","39187696"
"2019-09-28","32745549"
"2019-10-05","19737424"
"2019-10-12","20447131"
"2019-10-19","16995444"
"2019-10-26","13843381"
"2019-11-02","10154664"
"2019-11-09","10464571"
"2019-11-16","11281712"
"2019-11-23","11734805"
"2019-11-30","9890671"
"2019-12-07","11855226"
"2019-12-14","11731559"
"2019-12-21","12283567"
"2019-12-28","10615348"
"2020-01-04","7879643"
"2020-01-11","9834861"
"2020-01-18","8235395"
"2020-01-25","4871105"
"2020-02-01","6666870"
"2020-02-08","8380852"
"2020-02-15","10129497"
"2020-02-22","8243692"
"2020-02-29","6969408"
"2020-03-07","7054284"
"2020-03-14","10953543"
"2020-03-21","8988768"
"2020-03-28","7494728"
"2020-04-04","7457818"
"2020-04-11","9888043"
"2020-04-18","9273359"
"2020-04-25","10287437"
"2020-05-02","11800783"
"2020-05-09","12661909"
"2020-05-16","15387658"
"2020-05-23","11999567"
"2020-05-30","10762708"
"2020-06-06","11389822"
"2020-06-13","10051854"
"2020-06-20","8222249"
"2020-06-27","9712260"
"2020-07-04","11672816"
"2020-07-11","12107654"
"2020-07-18","10054781"
"2020-07-25","11073871"
"2020-08-01","14272856"
"2020-08-08","12245520"
"2020-08-15","14222615"
"2020-08-22","11224544"
"2020-08-29","8399556"
"2020-09-05","9251211"
"2020-09-12","7627465"
"2020-09-19","10267486"
"2020-09-26","9302372"
