"t","v"
"2012-01-18T00:00:00Z","-104.27009045"
"2012-01-19T00:00:00Z","-21.5711134"
"2012-01-20T00:00:00Z","205.17443100999998"
"2012-01-21T00:00:00Z","29.70785218"
"2012-01-22T00:00:00Z","13.45436512"
"2012-01-23T00:00:00Z","-25.60290254"
"2012-01-24T00:00:00Z","63.53842665"
"2012-01-25T00:00:00Z","128.2582967"
"2012-01-26T00:00:00Z","-346.48871134"
"2012-01-27T00:00:00Z","69.78714678"
"2012-01-28T00:00:00Z","117.14000143"
"2012-01-29T00:00:00Z","23.995628550000003"
"2012-01-30T00:00:00Z","33.22297857"
"2012-01-31T00:00:00Z","-129.08546571"
"2012-02-01T00:00:00Z","233.67967197"
"2012-02-02T00:00:00Z","25.20476595000001"
"2012-02-03T00:00:00Z","-91.07954065999996"
"2012-02-04T00:00:00Z","17.08399643"
"2012-02-05T00:00:00Z","48.94409599000001"
"2012-02-06T00:00:00Z","198.79333986"
"2012-02-07T00:00:00Z","85.71432417"
"2012-02-08T00:00:00Z","225.6850851"
"2012-02-09T00:00:00Z","-25.487994200000003"
"2012-02-10T00:00:00Z","181.74088779000002"
"2012-02-11T00:00:00Z","-317.36603798000004"
"2012-02-12T00:00:00Z","-83.39894055000002"
"2012-02-13T00:00:00Z","53.82171760999999"
"2012-02-14T00:00:00Z","-164.97079054"
"2012-02-15T00:00:00Z","88.27323252"
"2012-02-16T00:00:00Z","274.49485197"
"2012-02-17T00:00:00Z","422.50919002"
"2012-02-18T00:00:00Z","129.59818626999999"
"2012-02-19T00:00:00Z","35.8324703"
"2012-02-20T00:00:00Z","92.69615770000001"
"2012-02-21T00:00:00Z","-20.82127355"
"2012-02-22T00:00:00Z","437.70221795000003"
"2012-02-23T00:00:00Z","81.64932836000003"
"2012-02-24T00:00:00Z","195.31842046000003"
"2012-02-25T00:00:00Z","10.68865070000001"
"2012-02-26T00:00:00Z","183.88980202"
"2012-02-27T00:00:00Z","-1122.97249897"
"2012-02-28T00:00:00Z","267.38717437"
"2012-02-29T00:00:00Z","72.99076481"
"2012-03-01T00:00:00Z","348.11038214999996"
"2012-03-02T00:00:00Z","318.39668802"
"2012-03-03T00:00:00Z","273.54753292"
"2012-03-04T00:00:00Z","373.49652572"
"2012-03-05T00:00:00Z","-532.8477827300001"
"2012-03-06T00:00:00Z","-873.4774522300002"
"2012-03-07T00:00:00Z","367.07516289999995"
"2012-03-08T00:00:00Z","172.37443588"
"2012-03-09T00:00:00Z","-62.88059374999989"
"2012-03-10T00:00:00Z","232.08591936"
"2012-03-11T00:00:00Z","5.0008473700000025"
"2012-03-12T00:00:00Z","-319.5910647300001"
"2012-03-13T00:00:00Z","1068.3330127899999"
"2012-03-14T00:00:00Z","182.58050963999995"
"2012-03-15T00:00:00Z","301.6018456500001"
"2012-03-16T00:00:00Z","-1570.01457082"
"2012-03-17T00:00:00Z","247.8867139"
"2012-03-18T00:00:00Z","84.61408530999995"
"2012-03-19T00:00:00Z","1022.5993711200001"
"2012-03-20T00:00:00Z","229.93219580999997"
"2012-03-21T00:00:00Z","336.84406277"
"2012-03-22T00:00:00Z","-579.2653604499999"
"2012-03-23T00:00:00Z","-186.61582291999997"
"2012-03-24T00:00:00Z","525.47036592"
"2012-03-25T00:00:00Z","-113.54351276000001"
"2012-03-26T00:00:00Z","334.44902970000004"
"2012-03-27T00:00:00Z","532.88517763"
"2012-03-28T00:00:00Z","-1764.0971852100001"
"2012-03-29T00:00:00Z","266.93652481"
"2012-03-30T00:00:00Z","823.2661994499999"
"2012-03-31T00:00:00Z","45.22790573000003"
"2012-04-01T00:00:00Z","401.23808565999997"
"2012-04-02T00:00:00Z","-1266.95115207"
"2012-04-03T00:00:00Z","349.70233792999994"
"2012-04-04T00:00:00Z","263.3752802"
"2012-04-05T00:00:00Z","1091.10546207"
"2012-04-06T00:00:00Z","-1260.6723397300002"
"2012-04-07T00:00:00Z","523.99026772"
"2012-04-08T00:00:00Z","25.489204940000036"
"2012-04-09T00:00:00Z","160.55134185999998"
"2012-04-10T00:00:00Z","348.47320148000006"
"2012-04-11T00:00:00Z","353.91675083"
"2012-04-12T00:00:00Z","843.9426844000002"
"2012-04-13T00:00:00Z","132.76307653000003"
"2012-04-14T00:00:00Z","-1669.95306111"
"2012-04-15T00:00:00Z","101.49358037"
"2012-04-16T00:00:00Z","-2404.6124519600003"
"2012-04-17T00:00:00Z","-1895.49030211"
"2012-04-18T00:00:00Z","1033.93495987"
"2012-04-19T00:00:00Z","-349.60173999999995"
"2012-04-20T00:00:00Z","-369.3410849999999"
"2012-04-21T00:00:00Z","24.78662903999998"
"2012-04-22T00:00:00Z","526.31086489"
"2012-04-23T00:00:00Z","299.13081892000014"
"2012-04-24T00:00:00Z","-1102.7611035700002"
"2012-04-25T00:00:00Z","431.00868750000006"
"2012-04-26T00:00:00Z","402.82007753000005"
"2012-04-27T00:00:00Z","-224.55397302000006"
"2012-04-28T00:00:00Z","787.0480012300001"
"2012-04-29T00:00:00Z","-36.61277089999999"
"2012-04-30T00:00:00Z","-33.44261233999998"
"2012-05-01T00:00:00Z","-1443.86904015"
"2012-05-02T00:00:00Z","605.60596403"
"2012-05-03T00:00:00Z","711.6880180600001"
"2012-05-04T00:00:00Z","-224.02487087999998"
"2012-05-05T00:00:00Z","326.8604045100001"
"2012-05-06T00:00:00Z","-101.41337395000005"
"2012-05-07T00:00:00Z","559.83166695"
"2012-05-08T00:00:00Z","-231.92400020000002"
"2012-05-09T00:00:00Z","599.95294051"
"2012-05-10T00:00:00Z","-1234.9089999999999"
"2012-05-11T00:00:00Z","241.97509067"
"2012-05-12T00:00:00Z","264.80889405"
"2012-05-13T00:00:00Z","-360.6537202"
"2012-05-14T00:00:00Z","244.10786369999994"
"2012-05-15T00:00:00Z","-211.55920823000002"
"2012-05-16T00:00:00Z","-208.10809056999994"
"2012-05-17T00:00:00Z","424.50336125"
"2012-05-18T00:00:00Z","-1220.14122286"
"2012-05-19T00:00:00Z","646.52153114"
"2012-05-20T00:00:00Z","-1155.30099939"
"2012-05-21T00:00:00Z","219.66763247999984"
"2012-05-22T00:00:00Z","341.6601333000001"
"2012-05-23T00:00:00Z","-549.61112034"
"2012-05-24T00:00:00Z","1120.38818956"
"2012-05-25T00:00:00Z","1310.81702896"
"2012-05-26T00:00:00Z","-1564.73532137"
"2012-05-27T00:00:00Z","597.17650007"
"2012-05-28T00:00:00Z","20.931003809999996"
"2012-05-29T00:00:00Z","331.0070629800002"
"2012-05-30T00:00:00Z","-1910.6563041099998"
"2012-05-31T00:00:00Z","1175.6998589099999"
"2012-06-01T00:00:00Z","-510.99972581"
"2012-06-02T00:00:00Z","403.37848703"
"2012-06-03T00:00:00Z","1001.4126999999999"
"2012-06-04T00:00:00Z","-1578.2932969100002"
"2012-06-05T00:00:00Z","754.7401978799999"
"2012-06-06T00:00:00Z","-67.43065092999996"
"2012-06-07T00:00:00Z","4317.80360847"
"2012-06-08T00:00:00Z","-2876.6450836699996"
"2012-06-09T00:00:00Z","-1425.32515161"
"2012-06-10T00:00:00Z","-24.890349170000036"
"2012-06-11T00:00:00Z","2712.3863148499995"
"2012-06-12T00:00:00Z","4574.024493859999"
"2012-06-13T00:00:00Z","-7405.11772585"
"2012-06-14T00:00:00Z","831.9184142799986"
"2012-06-15T00:00:00Z","181.43346698000005"
"2012-06-16T00:00:00Z","672.18063628"
"2012-06-17T00:00:00Z","-1761.8249255499998"
"2012-06-18T00:00:00Z","-763.3880194200001"
"2012-06-19T00:00:00Z","4338.65554154"
"2012-06-20T00:00:00Z","-1176.6310911699998"
"2012-06-21T00:00:00Z","5439.734450970001"
"2012-06-22T00:00:00Z","-5537.988838750001"
"2012-06-23T00:00:00Z","1607.4559605999998"
"2012-06-24T00:00:00Z","-102.29220524000004"
"2012-06-25T00:00:00Z","4650.34884483"
"2012-06-26T00:00:00Z","-8440.00022858"
"2012-06-27T00:00:00Z","55.01866981999956"
"2012-06-28T00:00:00Z","-1003.0844142999999"
"2012-06-29T00:00:00Z","2292.06105174"
"2012-06-30T00:00:00Z","947.8707416299999"
"2012-07-01T00:00:00Z","255.54764270999996"
"2012-07-02T00:00:00Z","-1423.5215763300002"
"2012-07-03T00:00:00Z","-1446.5702652100001"
"2012-07-04T00:00:00Z","812.5343259899992"
"2012-07-05T00:00:00Z","395.61623967000014"
"2012-07-06T00:00:00Z","159.42098339000017"
"2012-07-07T00:00:00Z","-1512.6150832600001"
"2012-07-08T00:00:00Z","131.96582706999993"
"2012-07-09T00:00:00Z","-207.91649337"
"2012-07-10T00:00:00Z","-58.26913737000018"
"2012-07-11T00:00:00Z","-39.82798262000006"
"2012-07-12T00:00:00Z","2350.6059795700003"
"2012-07-13T00:00:00Z","794.2757772500001"
"2012-07-14T00:00:00Z","-1211.7039536300001"
"2012-07-15T00:00:00Z","3126.6208003399997"
"2012-07-16T00:00:00Z","-3337.48094161"
"2012-07-17T00:00:00Z","240.95248421999986"
"2012-07-18T00:00:00Z","2114.1228574799998"
"2012-07-19T00:00:00Z","1234.15484886"
"2012-07-20T00:00:00Z","-4895.28566833"
"2012-07-21T00:00:00Z","1091.64514713"
"2012-07-22T00:00:00Z","1046.68222711"
"2012-07-23T00:00:00Z","74.90973794999991"
"2012-07-24T00:00:00Z","2656.99178218"
"2012-07-25T00:00:00Z","-2528.1454621699995"
"2012-07-26T00:00:00Z","248.24871499000005"
"2012-07-27T00:00:00Z","1223.38442402"
"2012-07-28T00:00:00Z","895.1373899399999"
"2012-07-29T00:00:00Z","95.66840738000008"
"2012-07-30T00:00:00Z","-1469.3756658700001"
"2012-07-31T00:00:00Z","-3924.45809494"
"2012-08-01T00:00:00Z","1154.4518951100001"
"2012-08-02T00:00:00Z","519.2603076600003"
"2012-08-03T00:00:00Z","662.44425584"
"2012-08-04T00:00:00Z","407.09887492999997"
"2012-08-05T00:00:00Z","-2666.172455169999"
"2012-08-06T00:00:00Z","-240.15437236999992"
"2012-08-07T00:00:00Z","753.49447756"
"2012-08-08T00:00:00Z","870.20932481"
"2012-08-09T00:00:00Z","1115.90453211"
"2012-08-10T00:00:00Z","-1362.6317297300002"
"2012-08-11T00:00:00Z","-1058.36145741"
"2012-08-12T00:00:00Z","15.511284909999972"
"2012-08-13T00:00:00Z","1569.67668401"
"2012-08-14T00:00:00Z","1084.06978292"
"2012-08-15T00:00:00Z","-147.53704973000004"
"2012-08-16T00:00:00Z","-140.20299593999994"
"2012-08-17T00:00:00Z","1482.2673635499996"
"2012-08-18T00:00:00Z","-3974.29311499"
"2012-08-19T00:00:00Z","1473.5313266800001"
"2012-08-20T00:00:00Z","-968.3377866899998"
"2012-08-21T00:00:00Z","1284.3130669500001"
"2012-08-22T00:00:00Z","2567.8791233600004"
"2012-08-23T00:00:00Z","64.01133221000009"
"2012-08-24T00:00:00Z","-946.5122389200001"
"2012-08-25T00:00:00Z","-167.22468771000013"
"2012-08-26T00:00:00Z","83.41569256999992"
"2012-08-27T00:00:00Z","377.7930550599999"
"2012-08-28T00:00:00Z","-1512.5098246800003"
"2012-08-29T00:00:00Z","-1922.6918318999997"
"2012-08-30T00:00:00Z","2196.30722232"
"2012-08-31T00:00:00Z","129.90289065000002"
"2012-09-01T00:00:00Z","-309.17720697"
"2012-09-02T00:00:00Z","-138.18551185"
"2012-09-03T00:00:00Z","1120.68067761"
"2012-09-04T00:00:00Z","-966.7100811599998"
"2012-09-05T00:00:00Z","-1189.17451457"
"2012-09-06T00:00:00Z","327.53717119999965"
"2012-09-07T00:00:00Z","1426.9208433"
"2012-09-08T00:00:00Z","-2218.55387739"
"2012-09-09T00:00:00Z","-837.50891654"
"2012-09-10T00:00:00Z","1099.29942245"
"2012-09-11T00:00:00Z","-1165.5578114600003"
"2012-09-12T00:00:00Z","700.2796898700001"
"2012-09-13T00:00:00Z","345.84964921000005"
"2012-09-14T00:00:00Z","-524.1719739100001"
"2012-09-15T00:00:00Z","159.75358064000005"
"2012-09-16T00:00:00Z","-682.3845255900001"
"2012-09-17T00:00:00Z","104.34883247999994"
"2012-09-18T00:00:00Z","567.04814781"
"2012-09-19T00:00:00Z","593.4325254300002"
"2012-09-20T00:00:00Z","23.316976709999835"
"2012-09-21T00:00:00Z","-1130.0057572300002"
"2012-09-22T00:00:00Z","565.2506113200001"
"2012-09-23T00:00:00Z","437.78295001000015"
"2012-09-24T00:00:00Z","-1172.46724898"
"2012-09-25T00:00:00Z","211.48268538999992"
"2012-09-26T00:00:00Z","777.7900929400002"
"2012-09-27T00:00:00Z","-608.1221284100002"
"2012-09-28T00:00:00Z","-369.98747992000017"
"2012-09-29T00:00:00Z","202.83917326"
"2012-09-30T00:00:00Z","128.65911966999994"
"2012-10-01T00:00:00Z","527.2263952199999"
"2012-10-02T00:00:00Z","716.10233291225"
"2012-10-03T00:00:00Z","-360.14741783000045"
"2012-10-04T00:00:00Z","-519.9931405899997"
"2012-10-05T00:00:00Z","1680.9709718000004"
"2012-10-06T00:00:00Z","828.16222404"
"2012-10-07T00:00:00Z","1746.9463917200005"
"2012-10-08T00:00:00Z","-4819.84730785"
"2012-10-09T00:00:00Z","8.290783229999988"
"2012-10-10T00:00:00Z","571.12429109"
"2012-10-11T00:00:00Z","-485.7765334400001"
"2012-10-12T00:00:00Z","779.6513999699999"
"2012-10-13T00:00:00Z","444.59390402999986"
"2012-10-14T00:00:00Z","639.70768432"
"2012-10-15T00:00:00Z","-2105.5928236400005"
"2012-10-16T00:00:00Z","2088.5922909"
"2012-10-17T00:00:00Z","-1212.2041013399999"
"2012-10-18T00:00:00Z","1254.77758214"
"2012-10-19T00:00:00Z","-1701.9482186199998"
"2012-10-20T00:00:00Z","-134.94885897000006"
"2012-10-21T00:00:00Z","368.5984877600001"
"2012-10-22T00:00:00Z","339.0375570000001"
"2012-10-23T00:00:00Z","629.4984956299995"
"2012-10-24T00:00:00Z","3443.5717113699993"
"2012-10-25T00:00:00Z","699.8908241300005"
"2012-10-26T00:00:00Z","-5621.966420850001"
"2012-10-27T00:00:00Z","190.34245221000003"
"2012-10-28T00:00:00Z","268.04853774000003"
"2012-10-29T00:00:00Z","-577.2542229200001"
"2012-10-30T00:00:00Z","37.48074320999967"
"2012-10-31T00:00:00Z","580.8696502600001"
"2012-11-01T00:00:00Z","-579.7745167800003"
"2012-11-02T00:00:00Z","57.88850787000001"
"2012-11-03T00:00:00Z","638.19289033"
"2012-11-04T00:00:00Z","658.6115446100002"
"2012-11-05T00:00:00Z","-907.4642406600005"
"2012-11-06T00:00:00Z","-346.32952165999995"
"2012-11-07T00:00:00Z","4403.90768687"
"2012-11-08T00:00:00Z","-4309.57146352"
"2012-11-09T00:00:00Z","1893.3166456900003"
"2012-11-10T00:00:00Z","-1927.0971785499999"
"2012-11-11T00:00:00Z","206.62514664999998"
"2012-11-12T00:00:00Z","-116.40852128000006"
"2012-11-13T00:00:00Z","-140.62067597999976"
"2012-11-14T00:00:00Z","151.62462857000014"
"2012-11-15T00:00:00Z","529.0312769699999"
"2012-11-16T00:00:00Z","-661.1006800100004"
"2012-11-17T00:00:00Z","511.88598674"
"2012-11-18T00:00:00Z","206.52049162999992"
"2012-11-19T00:00:00Z","94.79041606999999"
"2012-11-20T00:00:00Z","-840.6480525100005"
"2012-11-21T00:00:00Z","144.52242647000003"
"2012-11-22T00:00:00Z","1498.721974760001"
"2012-11-23T00:00:00Z","-957.3026476800001"
"2012-11-24T00:00:00Z","-54.4716049499998"
"2012-11-25T00:00:00Z","-447.45917863"
"2012-11-26T00:00:00Z","-258.1069642299999"
"2012-11-27T00:00:00Z","538.2747764800001"
"2012-11-28T00:00:00Z","764.5561177699997"
"2012-11-29T00:00:00Z","829.2969563900001"
"2012-11-30T00:00:00Z","-1856.8885088599995"
"2012-12-01T00:00:00Z","366.2295812699999"
"2012-12-02T00:00:00Z","1088.8608885899998"
"2012-12-03T00:00:00Z","969.9029959199997"
"2012-12-04T00:00:00Z","-2624.63796085"
"2012-12-05T00:00:00Z","547.2581902799993"
"2012-12-06T00:00:00Z","231.07816247000028"
"2012-12-07T00:00:00Z","450.4757172599998"
"2012-12-08T00:00:00Z","36.50511427000015"
"2012-12-09T00:00:00Z","470.25197585"
"2012-12-10T00:00:00Z","-1610.7663807"
"2012-12-11T00:00:00Z","21.10361843999999"
"2012-12-12T00:00:00Z","551.53140205"
"2012-12-13T00:00:00Z","316.21930065000015"
"2012-12-14T00:00:00Z","1322.39548912"
"2012-12-15T00:00:00Z","459.5747389200001"
"2012-12-16T00:00:00Z","67.87454560000015"
"2012-12-17T00:00:00Z","-1822.3421390499998"
"2012-12-18T00:00:00Z","1121.3121459700005"
"2012-12-19T00:00:00Z","981.5673580300004"
"2012-12-20T00:00:00Z","888.5929116899997"
"2012-12-21T00:00:00Z","621.2062073300001"
"2012-12-22T00:00:00Z","-240.8687316800001"
"2012-12-23T00:00:00Z","928.4813536099999"
"2012-12-24T00:00:00Z","605.9702696400002"
"2012-12-25T00:00:00Z","1020.0896282"
"2012-12-26T00:00:00Z","-3774.05883306"
"2012-12-27T00:00:00Z","503.8488022400006"
"2012-12-28T00:00:00Z","-2682.2605995699996"
"2012-12-29T00:00:00Z","303.29910335"
"2012-12-30T00:00:00Z","358.45715996999996"
"2012-12-31T00:00:00Z","2456.8625123399997"
"2013-01-01T00:00:00Z","-1754.80027529"
"2013-01-02T00:00:00Z","608.9345086899998"
"2013-01-03T00:00:00Z","-354.00412774999995"
"2013-01-04T00:00:00Z","-10.421733510000195"
"2013-01-05T00:00:00Z","708.0320332900001"
"2013-01-06T00:00:00Z","405.15680363"
"2013-01-07T00:00:00Z","-3590.2084418800005"
"2013-01-08T00:00:00Z","195.38014036000004"
"2013-01-09T00:00:00Z","194.89525077000008"
"2013-01-10T00:00:00Z","604.4801776099998"
"2013-01-11T00:00:00Z","204.1042357299998"
"2013-01-12T00:00:00Z","468.09966156999985"
"2013-01-13T00:00:00Z","1202.2497384199999"
"2013-01-14T00:00:00Z","-2472.40538637"
"2013-01-15T00:00:00Z","635.5630855399995"
"2013-01-16T00:00:00Z","-413.0516416699993"
"2013-01-17T00:00:00Z","1798.2799649600001"
"2013-01-18T00:00:00Z","-1057.4000408381698"
"2013-01-19T00:00:00Z","-755.3823783699997"
"2013-01-20T00:00:00Z","41.5196339900001"
"2013-01-21T00:00:00Z","632.2351617300005"
"2013-01-22T00:00:00Z","2868.5425182599997"
"2013-01-23T00:00:00Z","-1349.8023715199997"
"2013-01-24T00:00:00Z","2391.9806531599997"
"2013-01-25T00:00:00Z","-2032.3027940499996"
"2013-01-26T00:00:00Z","-1103.97094666313"
"2013-01-27T00:00:00Z","-904.5378348999998"
"2013-01-28T00:00:00Z","-300.43303944000036"
"2013-01-29T00:00:00Z","1184.7653324499997"
"2013-01-30T00:00:00Z","-1544.4915227500005"
"2013-01-31T00:00:00Z","825.5134024099998"
"2013-02-01T00:00:00Z","2078.55688310267"
"2013-02-02T00:00:00Z","-915.4502014400005"
"2013-02-03T00:00:00Z","-1972.4521479700002"
"2013-02-04T00:00:00Z","824.9131667199999"
"2013-02-05T00:00:00Z","-629.6319094200003"
"2013-02-06T00:00:00Z","196.12400239999988"
"2013-02-07T00:00:00Z","112.0347647044"
"2013-02-08T00:00:00Z","27.38114674999997"
"2013-02-09T00:00:00Z","1715.0416262"
"2013-02-10T00:00:00Z","-1017.1591355699998"
"2013-02-11T00:00:00Z","218.6646912940696"
"2013-02-12T00:00:00Z","709.2853435100001"
"2013-02-13T00:00:00Z","2234.47107919"
"2013-02-14T00:00:00Z","-420.77471158000026"
"2013-02-15T00:00:00Z","3214.0514514300003"
"2013-02-16T00:00:00Z","-496.74746775999984"
"2013-02-17T00:00:00Z","3167.6152775299997"
"2013-02-18T00:00:00Z","727.7286977499998"
"2013-02-19T00:00:00Z","-2351.8576436900003"
"2013-02-20T00:00:00Z","-2366.7527364899997"
"2013-02-21T00:00:00Z","2405.5532402400004"
"2013-02-22T00:00:00Z","-7358.62497934365"
"2013-02-23T00:00:00Z","1506.45163989529"
"2013-02-24T00:00:00Z","-1450.86756340367"
"2013-02-25T00:00:00Z","12586.95403988"
"2013-02-26T00:00:00Z","2454.9937697450096"
"2013-02-27T00:00:00Z","-47.564153420000366"
"2013-02-28T00:00:00Z","4912.92637279584"
"2013-03-01T00:00:00Z","2212.67074925753"
"2013-03-02T00:00:00Z","2656.37139493"
"2013-03-03T00:00:00Z","-10175.346126774632"
"2013-03-04T00:00:00Z","-432.89163270078006"
"2013-03-05T00:00:00Z","1444.1024736828394"
"2013-03-06T00:00:00Z","4149.216950139999"
"2013-03-07T00:00:00Z","3802.9186932642797"
"2013-03-08T00:00:00Z","-999.92899605"
"2013-03-09T00:00:00Z","130.92349379000007"
"2013-03-10T00:00:00Z","-1688.96915788613"
"2013-03-11T00:00:00Z","-6169.50223658658"
"2013-03-12T00:00:00Z","499.1157315488399"
"2013-03-13T00:00:00Z","-2210.5718239899998"
"2013-03-14T00:00:00Z","841.6943121291401"
"2013-03-15T00:00:00Z","354.79981172376006"
