"t","v"
"2010-11-06T00:00:00Z","1211734.2422958543"
"2010-11-07T00:00:00Z","1607653.1750103026"
"2010-11-08T00:00:00Z","1463099.4277218003"
"2010-11-09T00:00:00Z","1174478.3434185148"
"2010-11-10T00:00:00Z","855199.8835360367"
"2010-11-11T00:00:00Z","1041344.581494682"
"2010-11-12T00:00:00Z","1085312.7347443153"
"2010-11-13T00:00:00Z","1270109.1094617923"
"2010-11-14T00:00:00Z","1289971.8505698903"
"2010-11-15T00:00:00Z","1286088.578816933"
"2010-11-16T00:00:00Z","1210980.4479681228"
"2010-11-17T00:00:00Z","1151484.2505374998"
"2010-11-18T00:00:00Z","1166098.0629798397"
"2010-11-19T00:00:00Z","1255353.1107096793"
"2010-11-20T00:00:00Z","1287941.8037556508"
"2010-11-21T00:00:00Z","1289340.6268235235"
"2010-11-22T00:00:00Z","1278869.8903829583"
"2010-11-23T00:00:00Z","1318765.85917403"
"2010-11-24T00:00:00Z","1315650.0100666657"
"2010-11-25T00:00:00Z","1319552.321548201"
"2010-11-26T00:00:00Z","1324016.4559868583"
"2010-11-27T00:00:00Z","1332202.2485274994"
"2010-11-28T00:00:00Z","1318616.7653151406"
"2010-11-29T00:00:00Z","1245636.6134054344"
"2010-11-30T00:00:00Z","1028325.9020094888"
"2010-12-01T00:00:00Z","1021440.3401635187"
"2010-12-02T00:00:00Z","1116669.1156245428"
"2010-12-03T00:00:00Z","1179967.2673883012"
"2010-12-04T00:00:00Z","1156897.8070865532"
"2010-12-05T00:00:00Z","1009615.2791509092"
"2010-12-06T00:00:00Z","932112.0468310917"
"2010-12-07T00:00:00Z","962661.7091581613"
"2010-12-08T00:00:00Z","1115673.307926703"
"2010-12-09T00:00:00Z","1026916.6365610457"
"2010-12-10T00:00:00Z","942704.0235204998"
"2010-12-11T00:00:00Z","1057607.668454935"
"2010-12-12T00:00:00Z","1026220.123592306"
"2010-12-13T00:00:00Z","1066022.5417160278"
"2010-12-14T00:00:00Z","1100104.4308415682"
"2010-12-15T00:00:00Z","1195584.2241631937"
"2010-12-16T00:00:00Z","1174901.237871748"
"2010-12-17T00:00:00Z","1213191.2419902917"
"2010-12-18T00:00:00Z","1221964.305636362"
"2010-12-19T00:00:00Z","1216174.2185760795"
"2010-12-20T00:00:00Z","1262343.4597179478"
"2010-12-21T00:00:00Z","1261138.9332901505"
"2010-12-22T00:00:00Z","1224301.9365269453"
"2010-12-23T00:00:00Z","1233581.050512863"
"2010-12-24T00:00:00Z","1240200.095124845"
"2010-12-25T00:00:00Z","1240605.7275773208"
"2010-12-26T00:00:00Z","1275170.7246859747"
"2010-12-27T00:00:00Z","1278616.0856115094"
"2010-12-28T00:00:00Z","1342717.5093851255"
"2010-12-29T00:00:00Z","1453978.1034784222"
