"t","v"
"2010-11-21T00:00:00Z","126034.96"
"2010-11-22T00:00:00Z","31402.79"
"2010-11-23T00:00:00Z","42631.65"
"2010-11-24T00:00:00Z","38608.89"
"2010-11-25T00:00:00Z","50602.19"
"2010-11-26T00:00:00Z","89105.83"
"2010-11-27T00:00:00Z","24279.84"
"2010-11-28T00:00:00Z","24283.6"
"2010-11-29T00:00:00Z","34689.85"
"2010-11-30T00:00:00Z","59750.89"
"2010-12-01T00:00:00Z","55044.62"
"2010-12-02T00:00:00Z","61254.39"
"2010-12-03T00:00:00Z","27582.73"
"2010-12-04T00:00:00Z","65206.76106783"
"2010-12-05T00:00:00Z","21426.76"
"2010-12-06T00:00:00Z","96030.00094584"
"2010-12-07T00:00:00Z","86851.21219765"
"2010-12-08T00:00:00Z","29647.27528566"
"2010-12-09T00:00:00Z","42492.55"
"2010-12-10T00:00:00Z","26642.24"
"2010-12-11T00:00:00Z","79771.92977788"
"2010-12-12T00:00:00Z","47790.92787191"
"2010-12-13T00:00:00Z","178698.24824802"
"2010-12-14T00:00:00Z","116316.29260157"
"2010-12-15T00:00:00Z","112978.44742856"
"2010-12-16T00:00:00Z","84740.4"
"2010-12-17T00:00:00Z","63088.66675504"
"2010-12-18T00:00:00Z","83180.55020711"
"2010-12-19T00:00:00Z","98020.87129038"
"2010-12-20T00:00:00Z","83129.68001065"
"2010-12-21T00:00:00Z","101604.71959024"
"2010-12-22T00:00:00Z","82723.13208696"
"2010-12-23T00:00:00Z","62909.59"
"2010-12-24T00:00:00Z","60406.22918737"
"2010-12-25T00:00:00Z","112597.04"
"2010-12-26T00:00:00Z","70039.84016352"
"2010-12-27T00:00:00Z","91519.0983169"
"2010-12-28T00:00:00Z","56620.69056498"
"2010-12-29T00:00:00Z","110848.44683591"
"2010-12-30T00:00:00Z","64600.52"
"2010-12-31T00:00:00Z","59416.45"
"2011-01-01T00:00:00Z","55246.04"
"2011-01-02T00:00:00Z","46563.89498822"
"2011-01-03T00:00:00Z","67603.79633815"
"2011-01-04T00:00:00Z","40189.38554711"
"2011-01-05T00:00:00Z","49426.32646677"
"2011-01-06T00:00:00Z","31984.32918433"
"2011-01-07T00:00:00Z","56548.18336902"
"2011-01-08T00:00:00Z","58976.97234567"
"2011-01-09T00:00:00Z","38283.05469134"
"2011-01-10T00:00:00Z","82149.60971559"
"2011-01-11T00:00:00Z","104312.78614891"
"2011-01-12T00:00:00Z","59178.45141248"
"2011-01-13T00:00:00Z","119971.10867027"
"2011-01-14T00:00:00Z","85264.91159374"
"2011-01-15T00:00:00Z","57051.29743052"
"2011-01-16T00:00:00Z","64830.03011814"
"2011-01-17T00:00:00Z","58357.17663104"
"2011-01-18T00:00:00Z","104882.69323904"
"2011-01-19T00:00:00Z","59805.21370812"
"2011-01-20T00:00:00Z","52152.72946975"
"2011-01-21T00:00:00Z","60976.73447858"
"2011-01-22T00:00:00Z","69676.15708752"
"2011-01-23T00:00:00Z","80119.06185463"
"2011-01-24T00:00:00Z","68782.53787557"
"2011-01-25T00:00:00Z","54614.34400623"
"2011-01-26T00:00:00Z","65679.65"
"2011-01-27T00:00:00Z","1035207.24905919"
"2011-01-28T00:00:00Z","46040.2"
"2011-01-29T00:00:00Z","67616.52"
"2011-01-30T00:00:00Z","390392.53759254"
"2011-01-31T00:00:00Z","189256.81982325"
"2011-02-01T00:00:00Z","121205.55079477"
"2011-02-02T00:00:00Z","113821.26104348"
"2011-02-03T00:00:00Z","65733.90982325"
"2011-02-04T00:00:00Z","53150.07108788"
"2011-02-05T00:00:00Z","69620.393797"
"2011-02-06T00:00:00Z","77822.38039876"
"2011-02-07T00:00:00Z","154767.88080385"
"2011-02-08T00:00:00Z","66678.80722994"
"2011-02-09T00:00:00Z","128187.0893116"
"2011-02-10T00:00:00Z","217293.93942762"
"2011-02-11T00:00:00Z","251910.27054812"
"2011-02-12T00:00:00Z","131709.66428978"
"2011-02-13T00:00:00Z","104222.31817975"
"2011-02-14T00:00:00Z","130173.60137725"
"2011-02-15T00:00:00Z","91802.12049414"
"2011-02-16T00:00:00Z","61440.89014566"
"2011-02-17T00:00:00Z","93634.73165151"
"2011-02-18T00:00:00Z","118433.49368959"
"2011-02-19T00:00:00Z","177445.45"
"2011-02-20T00:00:00Z","215803.85"
"2011-02-21T00:00:00Z","229289.87"
"2011-02-22T00:00:00Z","347399.08"
"2011-02-23T00:00:00Z","359549.64"
"2011-02-24T00:00:00Z","219159.37"
"2011-02-25T00:00:00Z","175646.76818048"
"2011-02-26T00:00:00Z","164986.32000999"
"2011-02-27T00:00:00Z","189733.44855151"
"2011-02-28T00:00:00Z","124882.99"
"2011-03-01T00:00:00Z","1033303.0202"
"2011-03-02T00:00:00Z","2435914.46808385"
"2011-03-03T00:00:00Z","228696.49168828"
"2011-03-04T00:00:00Z","302496.77576452"
"2011-03-05T00:00:00Z","128204.34382164"
"2011-03-06T00:00:00Z","182994.07380034"
"2011-03-07T00:00:00Z","207192.90964754"
"2011-03-08T00:00:00Z","186178.42944798"
"2011-03-09T00:00:00Z","244550.55503696"
"2011-03-10T00:00:00Z","338605.17804093"
"2011-03-11T00:00:00Z","247646.22809133"
"2011-03-12T00:00:00Z","156500.72971233"
"2011-03-13T00:00:00Z","205162.67115768"
"2011-03-14T00:00:00Z","207648.38789148"
"2011-03-15T00:00:00Z","121518.66643037"
"2011-03-16T00:00:00Z","153747.91181285"
"2011-03-17T00:00:00Z","160523.06737881"
"2011-03-18T00:00:00Z","170712.69283443"
"2011-03-19T00:00:00Z","119166.75"
"2011-03-20T00:00:00Z","138932.61252934"
"2011-03-21T00:00:00Z","151457.1292864"
"2011-03-22T00:00:00Z","204690.26911854"
"2011-03-23T00:00:00Z","254537.71"
"2011-03-24T00:00:00Z","251783.89767498"
"2011-03-25T00:00:00Z","285191.8078667"
"2011-03-26T00:00:00Z","319228.58920936"
"2011-03-27T00:00:00Z","145160.29202142"
"2011-03-28T00:00:00Z","135499.79246612"
"2011-03-29T00:00:00Z","110097.45112949"
"2011-03-30T00:00:00Z","122176.39452227"
"2011-03-31T00:00:00Z","137203.30298476"
"2011-04-01T00:00:00Z","78557.10827105"
"2011-04-02T00:00:00Z","95012.73432044"
"2011-04-03T00:00:00Z","81403.66902044"
"2011-04-04T00:00:00Z","143979.57701071"
"2011-04-05T00:00:00Z","119913.56418476"
"2011-04-06T00:00:00Z","86013.30799748"
"2011-04-07T00:00:00Z","110619.66496611"
"2011-04-08T00:00:00Z","127957.62595446"
"2011-04-09T00:00:00Z","141592.8701"
"2011-04-10T00:00:00Z","85002.705"
"2011-04-11T00:00:00Z","86958.28545405"
"2011-04-12T00:00:00Z","138327.89102861"
"2011-04-13T00:00:00Z","177985.18327498"
"2011-04-14T00:00:00Z","145817.77708196"
"2011-04-15T00:00:00Z","101083.46928382"
"2011-04-16T00:00:00Z","343720.36033964"
"2011-04-17T00:00:00Z","1300284.67927388"
"2011-04-18T00:00:00Z","128375.77203095"
"2011-04-19T00:00:00Z","2648900.87297451"
"2011-04-20T00:00:00Z","4786855.25204533"
"2011-04-21T00:00:00Z","431722.37799102"
"2011-04-22T00:00:00Z","157742.95424113"
"2011-04-23T00:00:00Z","166070.06501805"
"2011-04-24T00:00:00Z","101626.17017361"
"2011-04-25T00:00:00Z","97921.44776716"
"2011-04-26T00:00:00Z","178230.7690149"
"2011-04-27T00:00:00Z","247549.91657616"
"2011-04-28T00:00:00Z","148758.37378026"
"2011-04-29T00:00:00Z","776616.68897853"
"2011-04-30T00:00:00Z","404243.35673113"
"2011-05-01T00:00:00Z","162341.35321471"
"2011-05-02T00:00:00Z","119531.50276387"
"2011-05-03T00:00:00Z","187944.30138419"
"2011-05-04T00:00:00Z","279832.29970578"
"2011-05-05T00:00:00Z","158884.11759837"
"2011-05-06T00:00:00Z","280832.38563308"
"2011-05-07T00:00:00Z","222009.46302396"
"2011-05-08T00:00:00Z","529922.30659416"
"2011-05-09T00:00:00Z","152652.72967335"
"2011-05-10T00:00:00Z","567637.80802625"
"2011-05-11T00:00:00Z","176232.74776241"
"2011-05-12T00:00:00Z","207888.11417512"
"2011-05-13T00:00:00Z","452767.79141258"
"2011-05-14T00:00:00Z","1787332.68222895"
"2011-05-15T00:00:00Z","311644.16335245"
"2011-05-16T00:00:00Z","278135.84083743"
"2011-05-17T00:00:00Z","213827.57598351"
"2011-05-18T00:00:00Z","180980.14139751"
"2011-05-19T00:00:00Z","181553.85926654"
"2011-05-20T00:00:00Z","345373.97827319"
"2011-05-21T00:00:00Z","653932.73501498"
"2011-05-22T00:00:00Z","878645.10684297"
"2011-05-23T00:00:00Z","458227.15763291"
"2011-05-24T00:00:00Z","354352.97409151"
"2011-05-25T00:00:00Z","381724.41331447"
"2011-05-26T00:00:00Z","412883.93462764"
"2011-05-27T00:00:00Z","536274.02233876"
"2011-05-28T00:00:00Z","224944.42157997"
"2011-05-29T00:00:00Z","265968.09942964"
"2011-05-30T00:00:00Z","269176.3343513"
"2011-05-31T00:00:00Z","280069.08993259"
"2011-06-01T00:00:00Z","271556.69582778"
"2011-06-02T00:00:00Z","353800.12844271"
"2011-06-03T00:00:00Z","612095.00390065"
"2011-06-04T00:00:00Z","476176.30669758"
"2011-06-05T00:00:00Z","553552.189338"
"2011-06-06T00:00:00Z","827402.38616478"
"2011-06-07T00:00:00Z","525775.37308087"
"2011-06-08T00:00:00Z","787577.41817709"
"2011-06-09T00:00:00Z","771391.18297852"
"2011-06-10T00:00:00Z","921612.21548236"
"2011-06-11T00:00:00Z","1475318.54801825"
"2011-06-12T00:00:00Z","1828419.68185151"
"2011-06-13T00:00:00Z","1267585.01774126"
"2011-06-14T00:00:00Z","1536553.62041148"
"2011-06-15T00:00:00Z","4228658.11269623"
"2011-06-16T00:00:00Z","8761486.78951999"
"2011-06-17T00:00:00Z","1567071.80626229"
"2011-06-18T00:00:00Z","1257341.66496535"
"2011-06-19T00:00:00Z","4562719.65888625"
"2011-06-20T00:00:00Z","1332015.83419861"
"2011-06-21T00:00:00Z","3310987.83303808"
"2011-06-22T00:00:00Z","1322079.21828415"
"2011-06-23T00:00:00Z","1622860.26684258"
"2011-06-24T00:00:00Z","4774836.7232812"
"2011-06-25T00:00:00Z","10717965.9607551"
"2011-06-26T00:00:00Z","4044136.49727341"
"2011-06-27T00:00:00Z","1869503.38322469"
"2011-06-28T00:00:00Z","6863625.60048141"
"2011-06-29T00:00:00Z","2776613.34219863"
"2011-06-30T00:00:00Z","1496800.02810075"
"2011-07-01T00:00:00Z","1109129.25634535"
"2011-07-02T00:00:00Z","866498.85799041"
"2011-07-03T00:00:00Z","570256.27727544"
"2011-07-04T00:00:00Z","1354842.30910163"
"2011-07-05T00:00:00Z","407601.45852358"
"2011-07-06T00:00:00Z","568827.70760911"
"2011-07-07T00:00:00Z","465671.14210072"
"2011-07-08T00:00:00Z","304751.87142937"
"2011-07-09T00:00:00Z","2075749.7797173"
"2011-07-10T00:00:00Z","2425354.04059608"
"2011-07-11T00:00:00Z","1006529.34523699"
"2011-07-12T00:00:00Z","1067402.47708501"
"2011-07-13T00:00:00Z","1426353.63054764"
"2011-07-14T00:00:00Z","1924188.83475209"
"2011-07-15T00:00:00Z","596839.13119711"
"2011-07-16T00:00:00Z","1248032.20175466"
"2011-07-17T00:00:00Z","562560.04810858"
"2011-07-18T00:00:00Z","3301533.78384539"
"2011-07-19T00:00:00Z","2734518.82933278"
"2011-07-20T00:00:00Z","543219.31901479"
"2011-07-21T00:00:00Z","1332701.03629177"
"2011-07-22T00:00:00Z","1551491.62620996"
"2011-07-23T00:00:00Z","604012.64545407"
"2011-07-24T00:00:00Z","541563.89096709"
"2011-07-25T00:00:00Z","1433741.481864"
"2011-07-26T00:00:00Z","1179683.25363084"
"2011-07-27T00:00:00Z","1268003.8991725"
"2011-07-28T00:00:00Z","3392539.81114091"
"2011-07-29T00:00:00Z","689535.63806918"
"2011-07-30T00:00:00Z","324607.55067015"
"2011-07-31T00:00:00Z","594271.21892484"
"2011-08-01T00:00:00Z","540810.40408316"
"2011-08-02T00:00:00Z","397525.21743487"
"2011-08-03T00:00:00Z","407983.48686766"
"2011-08-04T00:00:00Z","318789.1782287"
"2011-08-05T00:00:00Z","493897.67907826"
"2011-08-06T00:00:00Z","379344.00586713"
"2011-08-07T00:00:00Z","364460.17020003"
"2011-08-08T00:00:00Z","1037818.81648552"
"2011-08-09T00:00:00Z","2480712.06788851"
"2011-08-10T00:00:00Z","1140502.20906047"
"2011-08-11T00:00:00Z","484305.50184995"
"2011-08-12T00:00:00Z","338600.25330115"
"2011-08-13T00:00:00Z","304069.10413749"
"2011-08-14T00:00:00Z","448471.15231774"
"2011-08-15T00:00:00Z","333516.41362054"
"2011-08-16T00:00:00Z","360958.01143933"
"2011-08-17T00:00:00Z","323050.17950716"
"2011-08-18T00:00:00Z","400276.76450103"
"2011-08-19T00:00:00Z","556105.80301097"
"2011-08-20T00:00:00Z","224616.33169003"
"2011-08-21T00:00:00Z","242892.58082983"
"2011-08-22T00:00:00Z","273233.35995305"
"2011-08-23T00:00:00Z","439714.46180093"
"2011-08-24T00:00:00Z","559683.81811839"
"2011-08-25T00:00:00Z","373618.58956978"
"2011-08-26T00:00:00Z","277651.96758712"
"2011-08-27T00:00:00Z","2705490.23339124"
"2011-08-28T00:00:00Z","183430.28231928"
"2011-08-29T00:00:00Z","237179.23402714"
"2011-08-30T00:00:00Z","236877.08085999"
"2011-08-31T00:00:00Z","264156.20473885"
"2011-09-01T00:00:00Z","328812.32065112"
"2011-09-02T00:00:00Z","253327.85551379"
"2011-09-03T00:00:00Z","224355.84231585"
"2011-09-04T00:00:00Z","1738588.54059555"
"2011-09-05T00:00:00Z","2265739.36234177"
"2011-09-06T00:00:00Z","3148001.51669684"
"2011-09-07T00:00:00Z","629363.21701875"
"2011-09-08T00:00:00Z","388415.87991039"
"2011-09-09T00:00:00Z","400461.10223516"
"2011-09-10T00:00:00Z","265157.88841232"
"2011-09-11T00:00:00Z","1013599.3571405"
"2011-09-12T00:00:00Z","620821.77978541"
"2011-09-13T00:00:00Z","351439.45439488"
"2011-09-14T00:00:00Z","295315.2438276"
"2011-09-15T00:00:00Z","291418.81013542"
"2011-09-16T00:00:00Z","668651.89302197"
"2011-09-17T00:00:00Z","347493.7885287"
"2011-09-18T00:00:00Z","290979.30609"
"2011-09-19T00:00:00Z","328399.40720936"
"2011-09-20T00:00:00Z","346518.99044468"
"2011-09-21T00:00:00Z","388649.85494465"
"2011-09-22T00:00:00Z","303675.04304883"
"2011-09-23T00:00:00Z","338481.65006471"
"2011-09-24T00:00:00Z","225632.90384614"
"2011-09-25T00:00:00Z","289326.35467067"
"2011-09-26T00:00:00Z","278481.67094852"
"2011-09-27T00:00:00Z","423472.37143275"
"2011-09-28T00:00:00Z","350384.79989849"
