Timestamp,my-wallet-n-users
12/25/2017 2:00,21218301
12/29/2017 4:00,21400134
1/2/2018 3:11,21539833
1/6/2018 5:11,21747072
1/10/2018 7:01,21942468
1/13/2018 13:06,22094305
1/17/2018 15:06,22258673
1/21/2018 17:06,22408411
1/24/2018 14:09,22497044
1/28/2018 16:08,22619304
2/1/2018 18:08,22745401
2/5/2018 20:08,22847667
2/9/2018 22:09,22946498
2/14/2018 0:09,23038728
2/17/2018 16:23,23120002
2/21/2018 16:15,23213529
2/25/2018 18:15,23297610
3/1/2018 20:15,23389749
3/5/2018 22:16,23473433
3/10/2018 0:16,23553821
3/14/2018 2:16,23628176
3/18/2018 4:16,23708988
3/22/2018 0:13,23776420
3/26/2018 2:13,23847357
3/29/2018 22:40,23920539
4/2/2018 23:40,23986750
4/6/2018 23:57,24052543
4/11/2018 1:57,24115134
4/14/2018 16:06,24173660
4/18/2018 18:06,24241605
4/22/2018 20:06,24312256
4/26/2018 22:06,24387017
5/4/2018 15:40,24557052
5/8/2018 17:40,24630564
5/12/2018 19:39,24704532
5/16/2018 21:39,24773362
5/20/2018 23:39,24840357
5/24/2018 19:48,24913162
5/28/2018 21:48,24978971
6/1/2018 23:48,25065599
6/6/2018 1:47,25148027
6/10/2018 3:48,25223119
6/14/2018 5:48,25294827
6/18/2018 7:48,25366889
6/22/2018 4:16,25450751
6/26/2018 5:32,25577537
6/29/2018 16:21,25727228
7/3/2018 18:21,25866414
7/7/2018 20:22,26027892
7/11/2018 18:37,26155626
7/15/2018 20:37,26280079
7/19/2018 22:37,26402293
7/23/2018 21:48,26612151
7/27/2018 23:48,26803987
7/31/2018 23:54,26984738
8/5/2018 1:54,27204422
8/8/2018 9:54,27395102
8/8/2018 23:54,27418430
8/9/2018 13:54,27463785
8/10/2018 3:54,27490882
8/10/2018 17:54,27541358
8/11/2018 7:54,27566714
8/11/2018 21:54,27599581
8/12/2018 11:54,27621379
8/13/2018 1:54,27628301
8/13/2018 15:54,27652104
8/14/2018 5:54,27668860
8/14/2018 19:54,27682322
8/15/2018 9:54,27707212
8/15/2018 23:54,27723977
8/16/2018 13:54,27745909
8/17/2018 3:54,27763679
8/17/2018 17:54,27780989
8/18/2018 7:54,27792178
8/18/2018 21:54,27807578
8/19/2018 11:54,27821517
8/20/2018 1:54,27836591
8/20/2018 15:54,27854758
8/21/2018 5:54,27862825
8/21/2018 19:54,27875010
8/22/2018 9:54,27887945
8/22/2018 23:54,27899774
8/23/2018 13:54,27910696
8/24/2018 3:54,27923509
8/24/2018 17:54,27942213
8/25/2018 7:54,27953017
8/25/2018 21:54,27964375
8/26/2018 11:54,27972635
8/27/2018 1:54,27986176
8/27/2018 15:54,28003510
8/28/2018 5:54,28016592
8/28/2018 19:54,28034898
8/29/2018 9:54,28051278
8/29/2018 23:54,28062644
8/30/2018 13:54,28079069
8/31/2018 3:54,28093491
8/31/2018 17:54,28105462
9/1/2018 7:54,28118535
9/1/2018 21:54,28134322
9/2/2018 11:54,28146023
9/3/2018 1:54,28169367
9/3/2018 15:54,28191701
9/4/2018 5:54,28204944
9/4/2018 19:54,28221242
9/5/2018 9:54,28232017
9/5/2018 23:54,28247479
9/6/2018 13:54,28263169
9/7/2018 3:54,28272498
9/7/2018 17:54,28293974
9/8/2018 7:54,28307897
9/8/2018 21:54,28316824
9/9/2018 11:54,28335693
9/10/2018 1:54,28347198
9/10/2018 15:54,28362032
9/11/2018 5:54,28369956
9/11/2018 19:54,28389175
9/12/2018 9:54,28405910
9/12/2018 23:54,28417954
9/13/2018 13:54,28428493
9/14/2018 3:54,28439421
9/14/2018 17:54,28453522
9/15/2018 7:54,28465338
9/15/2018 21:54,28483576
9/16/2018 11:54,28493640
9/17/2018 1:54,28510991
9/17/2018 15:54,28524387
9/18/2018 5:54,28547101
9/18/2018 19:54,28558403
9/19/2018 9:54,28578862
9/19/2018 23:54,28597622
9/20/2018 13:54,28621807
9/21/2018 3:54,28636779
9/21/2018 17:54,28651311
9/22/2018 7:54,28667671
9/22/2018 21:54,28682122
9/23/2018 11:54,28695262
9/24/2018 1:54,28705663
9/24/2018 15:54,28719353
9/25/2018 5:54,28730994
9/25/2018 19:54,28754595
9/26/2018 9:54,28769069
9/26/2018 23:54,28787814
9/27/2018 13:54,28803672
9/28/2018 3:54,28821750
9/28/2018 17:54,28837177
9/29/2018 7:54,28850285
9/29/2018 21:54,28869795
9/30/2018 11:54,28882247
10/1/2018 1:54,28893154
10/1/2018 15:54,28916910
10/2/2018 5:54,28930037
10/2/2018 19:54,28942535
10/3/2018 9:54,28953426
10/3/2018 23:54,28964820
10/4/2018 13:54,28985810
10/5/2018 3:54,28999266
10/5/2018 17:54,29016894
10/6/2018 7:54,29035110
10/6/2018 21:54,29054029
10/7/2018 12:54,29069101
10/8/2018 2:54,29090697
10/8/2018 16:54,29106283
10/9/2018 6:54,29119246
10/9/2018 20:54,29130908
10/10/2018 10:54,29143292
10/11/2018 0:54,29167077
10/11/2018 14:54,29179597
10/12/2018 4:54,29200751
10/12/2018 18:54,29218709
10/13/2018 8:54,29226740
10/13/2018 22:54,29240192
10/14/2018 12:54,29250500
10/15/2018 2:54,29263528
10/15/2018 16:54,29283371
10/16/2018 6:54,29302071
10/16/2018 20:54,29323774
10/17/2018 10:54,29334632
10/18/2018 0:54,29349755
10/18/2018 14:54,29369626
10/19/2018 4:54,29381766
10/19/2018 18:54,29403288
10/20/2018 8:54,29413866
10/20/2018 22:54,29439545
10/21/2018 12:54,29448174
