"Label","Value"
"2014-11-22","543442"
"2014-11-29",""
"2014-12-06",""
"2014-12-13",""
"2014-12-20",""
"2014-12-27","9589"
"2015-01-10","0"
"2015-01-17",""
"2015-01-24",""
"2015-01-31",""
"2015-02-07",""
"2015-02-14",""
"2015-02-21","3652587"
"2015-02-28",""
"2015-03-07",""
"2015-03-14",""
"2015-03-21",""
"2015-03-28",""
"2015-04-04",""
"2015-04-11",""
"2015-04-18",""
"2015-04-25","163761"
"2015-05-02",""
"2015-05-09",""
"2015-05-16",""
"2015-05-23","99917"
"2015-05-30",""
"2015-06-06",""
"2015-06-13",""
"2015-06-20","5483"
"2015-06-27","46265"
"2015-07-04","10031"
"2015-07-11",""
"2015-07-18","34988"
"2015-07-25","60706"
"2015-08-01","0"
"2015-08-08","31809"
"2015-08-15","16325"
"2015-08-22","2184"
"2015-08-29","0"
"2015-09-05","0"
"2015-09-12","0"
"2015-09-19",""
"2015-09-26",""
"2015-10-03","158058"
"2015-10-10",""
"2015-10-17",""
"2015-10-24",""
"2015-10-31",""
"2015-11-06",""
"2015-11-13",""
"2015-11-20",""
"2015-11-21","0"
"2015-11-28",""
"2015-12-05",""
"2015-12-12",""
"2015-12-19","138047"
"2015-12-26","1426"
"2016-01-02",""
"2016-01-09",""
"2016-01-16",""
"2016-01-23",""
"2016-01-30",""
"2016-02-06",""
"2016-02-13",""
"2016-02-20",""
"2016-02-27","10274"
"2016-03-05","166171"
"2016-03-12","121766"
"2016-03-19","160151"
"2016-03-26",""
"2016-04-02",""
"2016-04-09",""
"2016-04-16",""
"2016-04-23",""
"2016-04-30","30594"
"2016-05-07","145919"
"2016-05-14","199984"
"2016-05-21","64752"
"2016-05-28","118528"
"2016-06-04",""
"2016-06-11","32887"
"2016-06-18","190943"
"2016-06-25","13157"
"2016-07-02","245395"
"2016-07-09","87805"
"2016-07-16","205182"
"2016-07-23","488398"
"2016-07-30","88923"
"2016-08-06","262374"
"2016-08-13","84266"
"2016-08-20","10807"
"2016-08-27","94249"
"2016-09-03",""
"2016-09-10","323011"
"2016-09-17","27691"
"2016-09-24","191858"
"2016-10-01","743427"
"2016-10-08","490376"
"2016-10-15","155000"
"2016-10-22","231748"
"2016-10-29","1428234"
"2016-11-05","1116195"
"2016-11-12","441897"
"2016-11-19","119831"
"2016-11-26","840281"
"2016-12-03","109113"
"2016-12-10","768712"
"2016-12-17","568578"
"2016-12-24","549040"
"2016-12-31","1443090"
"2017-01-07","791367"
"2017-01-14","689811"
"2017-01-21","607532"
"2017-01-28","3778524"
"2017-02-04","3420382"
"2017-02-11","2253628"
"2017-02-18","7822177"
"2017-02-25","843788"
"2017-03-04","1447435"
"2017-03-11","2330420"
"2017-03-18","1163977"
"2017-03-25","966026"
"2017-04-01","990894"
"2017-04-08","8441192"
"2017-04-15","5063618"
"2017-04-22","1661692"
"2017-04-29","1690564"
"2017-05-06","883210"
"2017-05-13","3030963"
"2017-05-20","3245062"
"2017-05-27","1671991"
"2017-06-03","3800423"
"2017-06-10","6120336"
"2017-06-17","11772242"
"2017-06-24","6705011"
"2017-07-01","6074809"
"2017-07-08","4988710"
"2017-07-15","5198496"
"2017-07-22","7617721"
"2017-07-29","9277577"
"2017-08-05","7811386"
"2017-08-12","9767305"
"2017-08-19","9052868"
"2017-08-26","14008897"
