"Label","Value"
"2016-10-15","173424"
"2016-10-22","83222"
"2016-10-29","8413"
"2016-11-05","87880"
"2016-11-12","8254"
"2016-11-19","84643"
"2016-11-26","158295"
"2016-12-03","96384"
"2016-12-10","379854"
"2016-12-17","28352"
"2016-12-24","21682"
"2016-12-31","119790"
"2017-01-07","64269"
"2017-01-14","163894"
"2017-01-21","202027"
"2017-01-28","75904"
"2017-02-04","260052"
"2017-02-11","345575"
"2017-02-18","103781"
"2017-02-25","135221"
"2017-03-04","72708"
"2017-03-11","502809"
"2017-03-18","326265"
"2017-03-25","781191"
"2017-04-01","493154"
"2017-04-08","482089"
"2017-04-15","771778"
"2017-04-22","1416149"
"2017-04-29","1310259"
"2017-05-06","1731834"
"2017-05-13","1329961"
"2017-05-20","1103836"
"2017-05-27","1982988"
"2017-06-03","2529615"
"2017-06-10","1432127"
"2017-06-17","1044534"
"2017-06-24","699590"
"2017-07-01","534145"
"2017-07-08","1514789"
"2017-07-15","1267761"
"2017-07-22","1590410"
"2017-07-29","999216"
"2017-08-05","658114"
"2017-08-12","1561842"
"2017-08-19","1814557"
"2017-08-26","2436860"
"2017-09-02","1850471"
"2017-09-09","2545985"
"2017-09-16","2088909"
"2017-09-23","1651818"
"2017-09-30","2172797"
"2017-10-07","1353375"
"2017-10-14","3496321"
"2017-10-21","2917776"
"2017-10-28","3337262"
"2017-11-04","2707476"
"2017-11-11","3324782"
"2017-11-18","4766462"
"2017-11-25","3497735"
"2017-12-02","4302100"
"2017-12-09","6806186"
"2017-12-16","3706636"
"2017-12-23","6094370"
"2017-12-30","3555876"
"2018-01-06","11030298"
"2018-01-13","13331501"
"2018-01-20","6948159"
"2018-01-27","6560164"
"2018-02-03","4731531"
"2018-02-10","4289551"
"2018-02-17","3812871"
"2018-02-24","4914594"
"2018-03-03","5302147"
"2018-03-10","5150095"
"2018-03-17","3921312"
"2018-03-24","3765723"
"2018-03-31","2254656"
"2018-04-07","3161136"
"2018-04-14","3382258"
"2018-04-21","4449369"
"2018-04-28","3961415"
"2018-05-05","4002948"
"2018-05-12","4529989"
"2018-05-19","3691460"
"2018-05-26","4821712"
"2018-06-02","4288167"
"2018-06-09","4116708"
"2018-06-16","3302725"
"2018-06-23","4081628"
"2018-06-30","2307812"
"2018-07-07","3092470"
"2018-07-14","3727095"
"2018-07-21","3988761"
"2018-07-28","4290173"
"2018-08-04","5101681"
"2018-08-11","6074589"
"2018-08-18","4243360"
"2018-08-25","3937676"
"2018-09-01","2627635"
"2018-09-08","4771327"
"2018-09-15","3244835"
"2018-09-22","4871504"
"2018-09-29","3474419"
"2018-10-06","4677432"
"2018-10-13","4456953"
"2018-10-20","5718001"
"2018-10-27","5576851"
"2018-11-03","4215202"
"2018-11-10","6365516"
"2018-11-17","3519923"
"2018-11-24","3850639"
"2018-12-01","3968239"
"2018-12-08","4366532"
"2018-12-15","4008635"
"2018-12-22","9212827"
"2018-12-29","5499018"
"2019-01-05","4259631"
"2019-01-12","6706273"
"2019-01-19","5600765"
"2019-01-26","4727099"
"2019-02-02","5450080"
"2019-02-09","5870072"
"2019-02-16","4948212"
"2019-02-23","6638176"
"2019-03-02","4677688"
"2019-03-09","4595365"
"2019-03-16","5825133"
"2019-03-23","6436507"
"2019-03-30","4681788"
"2019-04-06","6631738"
"2019-04-13","6313549"
"2019-04-20","5602329"
"2019-04-27","6101883"
"2019-05-04","6726394"
"2019-05-11","5074287"
"2019-05-18","6230351"
"2019-05-25","5680873"
"2019-06-01","5447377"
"2019-06-08","6049454"
"2019-06-15","7150805"
"2019-06-22","5758672"
"2019-06-29","5985550"
"2019-07-06","5789671"
"2019-07-13","6299482"
"2019-07-20","6397464"
"2019-07-27","3782498"
"2019-08-03","5648652"
"2019-08-10","6854560"
"2019-08-17","6915360"
"2019-08-24","7623042"
"2019-08-31","5814439"
"2019-09-07","7061593"
"2019-09-14","4751019"
"2019-09-21","6549083"
"2019-09-28","4964287"
"2019-10-05","5076086"
"2019-10-12","4466807"
"2019-10-19","14342082"
"2019-10-26","3812206"
"2019-11-02","3294199"
"2019-11-09","3817263"
"2019-11-16","6271240"
"2019-11-23","3217434"
"2019-11-30","4009750"
"2019-12-07","4392745"
"2019-12-14","3921360"
"2019-12-21","4382393"
"2019-12-28","4283005"
"2020-01-04","4477732"
"2020-01-11","5171902"
"2020-01-18","4850341"
"2020-01-25","5794264"
"2020-02-01","4765452"
"2020-02-08","5764006"
"2020-02-15","5781588"
"2020-02-22","6601063"
"2020-02-29","6041540"
"2020-03-07","6463806"
"2020-03-14","6320948"
"2020-03-21","7585744"
"2020-03-28","3557553"
"2020-04-04","4548056"
"2020-04-11","3555017"
"2020-04-18","4976859"
"2020-04-25","5250964"
"2020-05-02","5537656"
"2020-05-09","6879785"
"2020-05-16","5434243"
"2020-05-23","7866540"
"2020-05-30","10508721"
"2020-06-06","9210640"
"2020-06-13","8343604"
"2020-06-20","8772771"
"2020-06-27","10313968"
"2020-07-04","7815582"
"2020-07-11","7424295"
"2020-07-18","7474912"
"2020-07-25","9261378"
"2020-08-01","8354857"
"2020-08-08","7930694"
"2020-08-15","8481146"
"2020-08-22","8113682"
"2020-08-29","9895090"
"2020-09-05","7301242"
"2020-09-12","6252836"
"2020-09-19","8352932"
"2020-09-26","9364967"
